市区町村コード,都道府県名,市区町村名,調査年月日,NO,学校名,学校名_かな,学校名_カナ,総児童数,通常学級_学級数_1年,通常学級_学級数_2年,通常学級_学級数_3年,通常学級_学級数_4年,通常学級_学級数_5年,通常学級_学級数_6年,通常学級_学級数_複式学級数,通常学級_児童数（総数）_1年,通常学級_児童数（男子）_1年,通常学級_児童数（女子）_1年,通常学級_児童数（総数）_2年,通常学級_児童数（男子）_2年,通常学級_児童数（女子）_2年,通常学級_児童数（総数）_3年,通常学級_児童数（男子）_3年,通常学級_児童数（女子）_3年,通常学級_児童数（総数）_4年,通常学級_児童数（男子）_4年,通常学級_児童数（女子）_4年,通常学級_児童数（総数）_5年,通常学級_児童数（男子）_5年,通常学級_児童数（女子）_5年,通常学級_児童数（総数）_6年,通常学級_児童数（男子）_6年,通常学級_児童数（女子）_6年,特別支援学級_学級数,特別支援学級_児童数（総数）,特別支援学級_児童数（男子）,特別支援学級_児童数（女子）,通級指導教室_学級数,通級指導教室_児童数（総数）,通級指導教室_児童数（男子）,通級指導教室_児童数（女子）,備考
401307,福岡県,福岡市,2019-05-01,121,飯原,いいはら,イイハラ,492,3,3,3,3,2,2,0,79,48,31,77,43,34,97,45,52,81,41,40,78,39,39,80,36,44,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,122,青葉,あおば,アオバ,811,4,4,4,4,4,4,0,137,66,71,137,76,61,133,64,69,135,72,63,135,64,71,134,68,66,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,123,奈多,なた,ナタ,542,3,3,3,3,3,3,0,99,61,38,84,42,42,81,38,43,103,49,54,85,44,41,90,43,47,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,124,野多目,のため,ノタメ,715,4,4,4,4,3,4,0,108,53,55,119,55,64,125,69,56,120,59,61,114,58,56,129,63,66,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,125,高木,たかぎ,タカギ,466,3,3,3,3,3,2,0,88,42,46,73,39,34,78,37,41,74,39,35,86,45,41,67,37,30,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,126,堤丘,つつみがおか,ツツミガオカ,242,1,2,2,2,2,1,0,30,12,18,37,17,20,44,26,18,47,21,26,44,18,26,40,20,20,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,127,有住,ありずみ,アリズミ,206,1,2,1,1,2,1,0,23,14,9,42,25,17,27,16,11,28,12,16,45,20,25,41,16,25,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,128,城原,じょうのはる,ジョウノハル,426,3,2,2,3,2,2,0,76,40,36,66,35,31,65,35,30,71,38,33,74,39,35,74,33,41,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,129,香椎浜,かしいはま,カシイハマ,320,2,2,2,2,2,1,0,64,38,26,58,30,28,64,32,32,47,21,26,52,32,20,35,19,16,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,130,大池,おおいけ,オオイケ,524,3,3,3,3,2,3,0,85,44,41,78,38,40,96,46,50,102,47,55,77,38,39,86,47,39,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,131,早良,さわら,サワラ,189,1,1,1,2,1,1,0,26,17,9,31,21,10,28,14,14,36,16,20,33,14,19,35,18,17,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,132,香椎下原,かしいしもばる,カシイシモバル,801,5,4,4,4,3,4,0,147,73,74,133,73,60,142,68,74,137,77,60,109,52,57,133,70,63,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,133,弥生,やよい,ヤヨイ,390,2,2,2,2,2,2,0,63,37,26,66,29,37,69,38,31,64,32,32,74,32,42,54,30,24,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,134,塩原,しおばる,シオバル,788,5,5,4,4,3,3,0,151,94,57,152,77,75,139,67,72,124,63,61,121,53,68,101,56,45,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,135,田村,たむら,タムラ,642,3,4,4,4,3,3,0,104,63,41,109,52,57,118,60,58,112,51,61,93,56,37,106,48,58,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,136,千早西,ちはやにし,チハヤニシ,391,2,2,2,2,2,2,0,68,33,35,64,34,30,55,32,23,62,31,31,61,29,32,81,41,40,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,137,東箱崎,ひがしはこざき,ヒガシハコザキ,316,2,2,2,2,2,2,0,56,19,37,48,19,29,53,21,32,60,32,28,46,25,21,53,25,28,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,138,柏原,かしはら,カシハラ,590,3,3,3,3,3,3,0,79,46,33,104,55,49,101,60,41,99,50,49,97,49,48,110,56,54,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,139,飯倉中央,いいくらちゅうおう,イイクラチュウオウ,317,2,2,2,2,2,2,0,62,37,25,52,25,27,52,26,26,56,23,33,52,38,14,43,26,17,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,140,玄洋,げんよう,ゲンヨウ,821,4,4,4,5,4,4,0,134,74,60,132,67,65,132,66,66,163,78,85,131,64,67,129,68,61,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,141,小田部,こたべ,コタベ,817,4,4,4,5,4,4,0,118,69,49,136,59,77,134,66,68,150,86,64,130,67,63,149,76,73,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,142,香陵,こうりょう,コウリョウ,396,2,2,2,3,2,2,0,54,27,27,71,35,36,64,25,39,78,41,37,67,34,33,62,26,36,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,143,百道浜,ももちはま,モモチハマ,517,3,2,3,3,3,3,0,85,50,35,62,34,28,88,43,45,85,43,42,107,54,53,90,45,45,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,144,松島,まつしま,マツシマ,1052,5,6,5,5,5,5,0,157,64,93,192,97,95,165,87,78,149,81,68,187,92,95,202,105,97,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,145,横手,よこて,ヨコテ,483,2,3,3,3,3,2,0,69,36,33,82,42,40,86,47,39,86,45,41,83,45,38,77,38,39,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,146,三苫,みとま,ミトマ,722,4,3,4,5,3,4,0,121,61,60,100,47,53,116,70,46,146,72,74,107,53,54,132,74,58,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,147,愛宕浜,あたごはま,アタゴハマ,424,2,2,2,2,2,2,0,68,30,38,66,37,29,71,42,29,60,33,27,78,39,39,81,50,31,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,148,姪北,めいほく,メイホク,507,3,3,3,3,2,3,0,81,49,32,79,39,40,95,47,48,82,43,39,75,38,37,95,65,30,6,,,,,,,,
401307,福岡県,福岡市,2019-05-01,149,照葉,てりは,テリハ,760,4,4,4,4,4,3,0,114,59,55,130,58,72,130,67,63,135,75,60,134,69,65,117,68,49,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,150,西都,さいと,サイト,1011,6,6,7,5,4,3,0,210,105,105,200,101,99,218,109,109,152,84,68,124,70,54,107,58,49,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,151,照葉北,てりはきた,テリハキタ,598,4,3,3,3,3,2,0,131,63,68,109,50,59,93,53,40,105,47,58,86,43,43,74,36,38,3,,,,,,,,
